Greenhous Gas Concentrations and Forcing
   Age     CO2       CH4       Fghgs
 148.6    202.60    429.39    -2.055
 148.8    202.79    429.55    -2.049
 149.0    201.07    431.15    -2.100
 149.2    198.78    433.08    -2.169
 149.4    196.50    436.69    -2.236
 149.6    194.21    439.54    -2.306
 149.8    191.60    428.85    -2.405
 150.0    189.55    413.82    -2.492
 150.2    191.07    403.85    -2.456
 150.4    192.63    402.11    -2.408
 150.6    194.19    400.95    -2.359
 150.8    195.75    409.22    -2.298
 151.0    197.31    421.21    -2.232
 151.2    198.87    430.51    -2.170
 151.4    200.25    428.04    -2.130
 151.6    199.93    424.20    -2.145
 151.8    199.17    422.50    -2.171
 152.0    198.41    423.62    -2.194
 152.2    197.65    424.76    -2.216
 152.4    196.89    424.16    -2.241
 152.6    196.13    418.46    -2.273
 152.8    195.37    412.77    -2.305
 153.0    194.62    408.48    -2.335
 153.2    193.86    404.36    -2.365
 153.4    193.10    401.70    -2.394
